-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     481.151ms       118.37%     481.151ms     160.384ms           0 B           0 B           0 B           0 B             3  
                                            val_forward         0.00%       0.000us         0.00%       0.000us       0.000us     453.393ms       111.54%     453.393ms     151.131ms           0 B           0 B           0 B           0 B             3  
                                aten::cudnn_convolution         1.89%      18.435ms         3.88%      37.844ms      78.353us     100.210ms        24.65%     100.210ms     207.473us           0 B           0 B       8.73 GB       8.73 GB           483  
                                             aten::add_         0.30%       2.931ms         0.76%       7.434ms      23.599us      63.547ms        15.63%      63.547ms     201.735us           0 B           0 B           0 B           0 B           315  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      63.533ms        15.63%      63.533ms     205.608us           0 B           0 B           0 B           0 B           309  
                                            aten::copy_         0.67%       6.573ms         1.99%      19.374ms      29.898us      43.422ms        10.68%      43.853ms      67.674us           0 B           0 B           0 B      -4.50 MB           648  
sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      40.324ms         9.92%      40.324ms     280.027us           0 B           0 B           0 B           0 B           144  
                                             aten::silu         0.32%       3.153ms         0.72%       7.044ms      31.304us      40.269ms         9.91%      40.269ms     178.974us           0 B           0 B       5.33 GB       5.33 GB           225  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.269ms         9.91%      40.269ms     178.974us           0 B           0 B           0 B           0 B           225  
                                              aten::add         0.57%       5.516ms         1.33%      12.940ms      25.523us      38.390ms         9.44%      38.390ms      75.720us           0 B           0 B       3.63 GB       3.63 GB           507  
