-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     480.045ms       123.99%     480.045ms     160.015ms           0 B           0 B           0 B           0 B             3  
                                            val_forward         0.00%       0.000us         0.00%       0.000us       0.000us     444.205ms       114.73%     444.205ms     148.068ms           0 B           0 B           0 B           0 B             3  
                                aten::cudnn_convolution         1.89%      17.916ms         3.95%      37.496ms      77.632us      95.659ms        24.71%      95.659ms     198.051us           0 B           0 B       8.73 GB       8.73 GB           483  
                                             aten::add_         0.31%       2.931ms         0.79%       7.465ms      23.698us      55.001ms        14.21%      55.001ms     174.608us           0 B           0 B           0 B           0 B           315  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      54.988ms        14.20%      54.988ms     177.954us           0 B           0 B           0 B           0 B           309  
                                            aten::copy_         0.77%       7.333ms         2.22%      21.109ms      32.575us      42.720ms        11.03%      43.177ms      66.631us           0 B           0 B           0 B      -4.50 MB           648  
                                             aten::silu         0.36%       3.451ms         0.84%       7.983ms      35.479us      39.542ms        10.21%      39.542ms     175.744us           0 B           0 B       5.33 GB       5.33 GB           225  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.542ms        10.21%      39.542ms     175.744us           0 B           0 B           0 B           0 B           225  
                                              aten::add         0.59%       5.642ms         1.41%      13.358ms      26.348us      36.730ms         9.49%      36.730ms      72.445us           0 B           0 B       3.63 GB       3.63 GB           507  
sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      34.654ms         8.95%      34.654ms     240.656us           0 B           0 B           0 B           0 B           144  
